,label_A,label_B,pair,pair_odr,cooccurrence_count_human,label_A_count_human,label_B_count_human,Jaccard_index_human,Tversky_index_human,distance,common_parent_count,w_distance_GT,similarity_GT,jcl_category_A,dbp_category_A,jcl_category_B,dbp_category_B,similarity_DBP,w_distance_DBP,cooccurrence_count_pred,label_A_count_pred,label_B_count_pred,Jaccard_index_pred,Tversky_index_pred
20,ange,livre,"(ange, livre)","(ange, livre)",447.0,3780.0,3387.0,0.06651785714285714,0.13197519929140833,100,0,3.6875,0.0,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-6877,http://fr.dbpedia.org/resource/Catégorie:Ange,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-6519,http://fr.dbpedia.org/resource/Catégorie:Livre,7.9653e-06,0.9999920347,2797.0,15896.0,14955.0,0.09970057745776004,0.1870277499164159
21,ange,main,"(ange, main)","(ange, main)",51.0,3780.0,2350.0,0.008389537752919889,0.02170212765957447,100,0,3.734375,0.0,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-6877,http://fr.dbpedia.org/resource/Catégorie:Ange,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-2331,http://fr.dbpedia.org/resource/Catégorie:Main,0.00042978,0.99957022,259.0,15896.0,14262.0,0.008662497073480718,0.018160145842097884
22,ange,maison,"(ange, maison)","(ange, maison)",43.0,3780.0,6845.0,0.004063504063504064,0.006281957633308985,100,0,3.6875,0.0,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-6877,http://fr.dbpedia.org/resource/Catégorie:Ange,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-2744,http://fr.dbpedia.org/resource/Catégorie:Maison,0.00020169,0.99979831,31.0,15896.0,16495.0,0.0009579728059332509,0.001879357381024553
23,ange,mer,"(ange, mer)","(ange, mer)",45.0,3780.0,2317.0,0.007435558493060146,0.019421665947345707,100,0,3.6875,0.0,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-6877,http://fr.dbpedia.org/resource/Catégorie:Ange,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-618,http://fr.dbpedia.org/resource/Catégorie:Mer,0.00020173,0.99979827,71.0,15896.0,5967.0,0.0032580763582966228,0.011898776604658958
24,ange,montagne,"(ange, montagne)","(ange, montagne)",57.0,3780.0,2855.0,0.008665247795682578,0.019964973730297722,100,0,3.6875,0.0,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-6877,http://fr.dbpedia.org/resource/Catégorie:Ange,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-511,http://fr.dbpedia.org/resource/Catégorie:Montagne,3.7007e-15,0.9999999999999963,162.0,15896.0,7189.0,0.007067137809187279,0.02253442759771874
25,ange,mouton,"(ange, mouton)","(ange, mouton)",142.0,3780.0,1498.0,0.02764797507788162,0.09479305740987984,100,0,3.74609375,0.0,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-6877,http://fr.dbpedia.org/resource/Catégorie:Ange,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-2092,http://fr.dbpedia.org/resource/Catégorie:Bovidae,6.5459e-08,0.999999934541,316.0,15896.0,2882.0,0.01711623876069765,0.10964607911172797
26,ange,nu,"(ange, nu)","(ange, nu)",156.0,3780.0,8166.0,0.013231552162849873,0.019103600293901544,100,0,3.6875,0.0,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-6877,http://fr.dbpedia.org/resource/Catégorie:Ange,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-2224,http://fr.dbpedia.org/resource/Catégorie:Nu,0.057737,0.942263,869.0,15896.0,20391.0,0.024535546897057992,0.042616840763081754
27,ange,nuage,"(ange, nuage)","(ange, nuage)",215.0,3780.0,1478.0,0.04263335316279992,0.14546684709066307,100,0,3.6875,0.0,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-6877,http://fr.dbpedia.org/resource/Catégorie:Ange,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-941,http://fr.dbpedia.org/resource/Catégorie:Nuage,0.00011513,0.99988487,1171.0,15896.0,3765.0,0.06333153055705787,0.31102257636122177
28,ange,nudité,"(ange, nudité)","(ange, nudité)",91.0,3780.0,2310.0,0.015169194865810968,0.03939393939393939,100,0,3.6875,0.0,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-6877,http://fr.dbpedia.org/resource/Catégorie:Ange,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-2225,http://fr.dbpedia.org/resource/Catégorie:Nudité,3.3494e-06,0.9999966506,1002.0,15896.0,12123.0,0.03708775955879631,0.08265280871071518
29,ange,oiseau,"(ange, oiseau)","(ange, oiseau)",412.0,3780.0,6382.0,0.042256410256410255,0.0645565653400188,100,0,3.6875,0.0,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-6877,http://fr.dbpedia.org/resource/Catégorie:Ange,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-1740,http://fr.dbpedia.org/resource/Catégorie:Oiseau,4.0008e-16,0.9999999999999996,1656.0,15896.0,14696.0,0.05722974841028477,0.11268372346216658
30,ange,pont,"(ange, pont)","(ange, pont)",30.0,3780.0,2412.0,0.004868549172346641,0.012437810945273632,100,0,3.71875,0.0,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-6877,http://fr.dbpedia.org/resource/Catégorie:Ange,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-6186,http://fr.dbpedia.org/resource/Catégorie:Pont,3.0791e-06,0.9999969209,18.0,15896.0,6849.0,0.0007920095041140493,0.002628120893561104
31,ange,robe,"(ange, robe)","(ange, robe)",17.0,3780.0,1375.0,0.0033086804203970414,0.012363636363636363,100,0,3.625,0.0,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-6877,http://fr.dbpedia.org/resource/Catégorie:Ange,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-2694,http://fr.dbpedia.org/resource/Catégorie:Vêtement_mixte,3.3494e-06,0.9999966506,30.0,15896.0,4135.0,0.0014999250037498126,0.007255139056831923
32,ange,table,"(ange, table)","(ange, table)",49.0,3780.0,1708.0,0.009009009009009009,0.028688524590163935,100,0,3.5,0.0,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-6877,http://fr.dbpedia.org/resource/Catégorie:Ange,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-2844,http://fr.dbpedia.org/resource/Catégorie:Table,3.0791e-06,0.9999969209,95.0,15896.0,5888.0,0.004380100511780165,0.016134510869565216
33,ange,tour,"(ange, tour)","(ange, tour)",30.0,3780.0,1579.0,0.00562957402889848,0.018999366687777075,100,0,3.625,0.0,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-6877,http://fr.dbpedia.org/resource/Catégorie:Ange,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-3094,http://fr.dbpedia.org/resource/Catégorie:Tour_(construction),3.0791e-06,0.9999969209,24.0,15896.0,3061.0,0.0012676279511963239,0.007840574975498203
34,ange,uniforme,"(ange, uniforme)","(ange, uniforme)",5.0,3780.0,1867.0,0.0008862105636299185,0.002678093197643278,100,0,3.625,0.0,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-6877,http://fr.dbpedia.org/resource/Catégorie:Ange,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-2701,http://fr.dbpedia.org/resource/Catégorie:Uniforme,3.3203e-06,0.9999966797,2.0,15896.0,4032.0,0.00010037137408411121,0.000496031746031746
35,ange,voiture à attelage,"(ange, voiture à attelage)","(ange, voiture à attelage)",26.0,3780.0,2448.0,0.00419219606578523,0.010620915032679739,100,0,3.7421875,0.0,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-6877,http://fr.dbpedia.org/resource/Catégorie:Ange,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-6237,http://fr.dbpedia.org/resource/Catégorie:Traction_animale,0.00020209,0.99979791,136.0,15896.0,7627.0,0.005815196476675076,0.017831388488265373
36,ange,à mi-corps,"(ange, à mi-corps)","(ange, à mi-corps)",90.0,3780.0,4946.0,0.010421491431218156,0.01819652244237768,100,0,3.6875,0.0,,,,,,,190.0,15896.0,12413.0,0.006756997048259184,0.015306533472971885
37,ange,église,"(ange, église)","(ange, église)",125.0,3780.0,5767.0,0.013266822330715347,0.021675047685104906,4,1,1.5,0.25,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-6877,http://fr.dbpedia.org/resource/Catégorie:Ange,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-8255,http://fr.dbpedia.org/resource/Catégorie:Église,0.079808,0.920192,568.0,15896.0,13027.0,0.02003174043378593,0.04360175021110002
38,ange,épée,"(ange, épée)","(ange, épée)",228.0,3780.0,2537.0,0.037444572179339795,0.08986992510839574,100,0,3.71875,0.0,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-6877,http://fr.dbpedia.org/resource/Catégorie:Ange,http://data.culture.fr/thesaurus/resource/ark:/67717/T523-5549,http://fr.dbpedia.org/resource/Catégorie:Épée,9.9846e-07,0.99999900154,1140.0,15896.0,9765.0,0.046490763019452715,0.11674347158218126
